연도,월,국가,대륙,검색량
2025,12,스위스,유럽,59945
2025,12,스페인,유럽,46258
2025,12,벨기에,유럽,-4625
2025,12,체코,유럽,-9670
2025,12,탄자니아,아프리카,-8801
2025,12,케냐,아프리카,-15318
2025,12,몽골,아시아,82932
2025,12,콜롬비아,남아메리카,-14201
2025,12,쿠바,남아메리카,-15318
2025,12,필리핀,아시아,46258
2025,12,미국,북아메리카,46258
2025,12,네팔,아시아,-31036
2025,12,모로코,아프리카,-4625
2025,12,인도네시아,아시아,59569
2025,12,인도,아시아,-8801
2025,12,몰타,유럽,18250
2025,12,이집트,아프리카,-4907
2025,12,터키,유럽,27874
2025,12,포르투갈,유럽,26330
2025,12,팔라우,오세아니아,5600
2025,12,프랑스,유럽,-8801
2025,12,이탈리아,유럽,27143
2025,12,오스트리아,유럽,-9670
2025,12,영국,유럽,-9670
2025,12,에스토니아,유럽,-18765
2025,12,아랍에미리트,아시아,16377
2025,12,이스라엘,아시아,13028
2025,12,요르단,아시아,-31036
2025,12,피지,오세아니아,27143
2025,12,호주,오세아니아,-9670
2025,12,괌,오세아니아,195753
2025,12,그리스,유럽,-8801
2025,12,아르헨티나,남아메리카,15567
2025,12,라오스,아시아,133974
2025,12,러시아,아시아,116537
2025,12,말레이시아,아시아,-14201
2026,1,일본,아시아,95857
2026,1,대만,아시아,199116
2026,1,중국,아시아,93500
2026,1,뉴질랜드,오세아니아,55149
2026,1,베트남,아시아,126278
2026,1,싱가포르,아시아,109947
2026,1,브라질,남아메리카,-12329
2026,1,볼리비아,아프리카,4565
2026,1,스위스,유럽,120953
2026,1,스페인,유럽,84716
2026,1,벨기에,유럽,38719
2026,1,태국,아시아,85637
2026,1,필리핀,아시아,84716
2026,1,캐나다,북아메리카,36588
2026,1,캄보디아,아시아,-15813
2026,1,카타르,아시아,-18457
2026,1,조지아,유럽,95857
2026,1,인도네시아,아시아,95857
2026,1,인도,아시아,29934
2026,1,아랍에미리트,아시아,53614
2026,1,이스라엘,아시아,49870
2026,1,콜롬비아,남아메리카,4565
2026,1,쿠바,남아메리카,-6248
2026,1,요르단,아시아,-30934
2026,1,아르헨티나,남아메리카,50853
2026,1,이집트,아프리카,36588
2026,1,이탈리아,유럽,73950
2026,1,탄자니아,아프리카,29934
2026,1,오스트리아,유럽,10728
2026,1,영국,유럽,5573
2026,1,에스토니아,유럽,-11612
2026,1,체코,유럽,23251
2026,1,케냐,아프리카,4565
2026,1,네팔,아시아,-30934
2026,1,미국,북아메리카,84716
2026,1,몽골,아시아,129666
2026,1,피지,오세아니아,73950
2026,1,호주,오세아니아,5573
2026,1,터키,유럽,74867
2026,1,포르투갈,유럽,56090
2026,1,팔라우,오세아니아,43025
2026,1,프랑스,유럽,24665
2026,1,괌,오세아니아,608852
2026,1,그리스,유럽,36588
2026,1,모로코,아프리카,40883
2026,1,몰타,유럽,53614
2026,1,라오스,아시아,157134
2026,1,러시아,아시아,135824
2026,1,말레이시아,아시아,4565
2026,2,일본,아시아,49537
2026,2,대만,아시아,169767
2026,2,뉴질랜드,오세아니아,4747
2026,2,중국,아시아,47754
2026,2,필리핀,아시아,40752
2026,2,베트남,아시아,75258
2026,2,싱가포르,아시아,61441
2026,2,볼리비아,아프리카,-16147
2026,2,브라질,남아메리카,-30297
2026,2,태국,아시아,47754
2026,2,스위스,유럽,71870
2026,2,스페인,유럽,32992
2026,2,벨기에,유럽,2652
2026,2,캄보디아,아시아,-31839
2026,2,카타르,아시아,-43497
2026,2,캐나다,북아메리카,-1172
2026,2,조지아,유럽,47754
2026,2,피지,오세아니아,5755
2026,2,호주,오세아니아,-14229
2026,2,네팔,아시아,-55974
2026,2,터키,유럽,13934
2026,2,포르투갈,유럽,5754
2026,2,팔라우,오세아니아,3284
2026,2,프랑스,유럽,-12490
2026,2,콜롬비아,남아메리카,-16147
2026,2,쿠바,남아메리카,-26911
2026,2,인도네시아,아시아,61107
2026,2,인도,아시아,-9225
2026,2,미국,북아메리카,40752
2026,2,탄자니아,아프리카,-9956
2026,2,몽골,아시아,81016
2026,2,체코,유럽,-14229
2026,2,케냐,아프리카,-26038
2026,2,이집트,아프리카,-942
2026,2,이탈리아,유럽,5755
2026,2,오스트리아,유럽,-14229
2026,2,영국,유럽,-14229
2026,2,에스토니아,유럽,-28758
2026,2,아랍에미리트,아시아,4747
2026,2,이스라엘,아시아,3284
2026,2,요르단,아시아,-55974
2026,2,괌,오세아니아,222132
2026,2,아르헨티나,남아메리카,4747
2026,2,모로코,아프리카,2652
2026,2,그리스,유럽,-8028
2026,2,몰타,유럽,4747
2026,2,라오스,아시아,109206
2026,2,러시아,아시아,82708
2026,2,말레이시아,아시아,-16147
2026,3,일본,아시아,49537
2026,3,대만,아시아,166717
2026,3,뉴질랜드,오세아니아,4747
2026,3,중국,아시아,47754
2026,3,필리핀,아시아,40752
2026,3,베트남,아시아,75258
2026,3,싱가포르,아시아,61441
2026,3,볼리비아,아프리카,-16147
2026,3,브라질,남아메리카,-30297
2026,3,태국,아시아,47754
2026,3,스위스,유럽,71870
2026,3,스페인,유럽,32992
2026,3,벨기에,유럽,2652
2026,3,캄보디아,아시아,-31839
2026,3,카타르,아시아,-43497
2026,3,캐나다,북아메리카,-1172
2026,3,조지아,유럽,47754
2026,3,피지,오세아니아,5755
2026,3,호주,오세아니아,-14229
2026,3,네팔,아시아,-55974
2026,3,터키,유럽,13934
2026,3,포르투갈,유럽,5754
2026,3,팔라우,오세아니아,3284
2026,3,프랑스,유럽,-12490
2026,3,콜롬비아,남아메리카,-16147
2026,3,쿠바,남아메리카,-26911
2026,3,인도네시아,아시아,61107
2026,3,인도,아시아,-9225
2026,3,미국,북아메리카,40752
2026,3,탄자니아,아프리카,-9956
2026,3,몽골,아시아,81016
2026,3,체코,유럽,-14229
2026,3,케냐,아프리카,-26038
2026,3,이집트,아프리카,-942
2026,3,이탈리아,유럽,5755
2026,3,오스트리아,유럽,-14229
2026,3,영국,유럽,-14229
2026,3,에스토니아,유럽,-28758
2026,3,아랍에미리트,아시아,4747
2026,3,이스라엘,아시아,3284
2026,3,요르단,아시아,-55974
2026,3,괌,오세아니아,219421
2026,3,아르헨티나,남아메리카,4747
2026,3,모로코,아프리카,2652
2026,3,그리스,유럽,-8028
2026,3,몰타,유럽,4747
2026,3,라오스,아시아,106156
2026,3,러시아,아시아,82708
2026,3,말레이시아,아시아,-16147
2026,4,일본,아시아,47754
2026,4,대만,아시아,151150
2026,4,뉴질랜드,오세아니아,5805
2026,4,중국,아시아,47754
2026,4,베트남,아시아,71870
2026,4,싱가포르,아시아,61441
2026,4,필리핀,아시아,22522
2026,4,볼리비아,아프리카,-16147
2026,4,브라질,남아메리카,-30297
2026,4,스위스,유럽,63089
2026,4,스페인,유럽,14762
2026,4,벨기에,유럽,-2729
2026,4,태국,아시아,30003
2026,4,캄보디아,아시아,-31839
2026,4,카타르,아시아,-43497
2026,4,캐나다,북아메리카,-9479
2026,4,조지아,유럽,47754
2026,4,터키,유럽,13934
2026,4,피지,오세아니아,5805
2026,4,포르투갈,유럽,5805
2026,4,팔라우,오세아니아,2652
2026,4,프랑스,유럽,-14229
2026,4,호주,오세아니아,-14946
2026,4,네팔,아시아,-55974
2026,4,인도네시아,아시아,61107
2026,4,인도,아시아,-12490
2026,4,미국,북아메리카,22522
2026,4,탄자니아,아프리카,-14229
2026,4,몽골,아시아,75258
2026,4,체코,유럽,-14229
2026,4,케냐,아프리카,-26038
2026,4,이집트,아프리카,-8028
2026,4,이탈리아,유럽,5805
2026,4,오스트리아,유럽,-14229
2026,4,영국,유럽,-14946
2026,4,에스토니아,유럽,-28758
2026,4,콜롬비아,남아메리카,-16147
2026,4,쿠바,남아메리카,-26911
2026,4,아랍에미리트,아시아,5805
2026,4,이스라엘,아시아,2652
2026,4,요르단,아시아,-55974
2026,4,괌,오세아니아,219421
2026,4,아르헨티나,남아메리카,5754
2026,4,모로코,아프리카,-942
2026,4,그리스,유럽,-10210
2026,4,몰타,유럽,5805
2026,4,라오스,아시아,92905
2026,4,러시아,아시아,82708
2026,4,말레이시아,아시아,-16147
2026,5,일본,아시아,49980
2026,5,대만,아시아,151150
2026,5,뉴질랜드,오세아니아,14567
2026,5,베트남,아시아,63667
2026,5,싱가포르,아시아,59392
2026,5,볼리비아,아프리카,-13921
2026,5,브라질,남아메리카,-26038
2026,5,필리핀,아시아,39115
