,검색일자,국가,대륙,모바일검색량,PC검색량,총검색량
248,2020-09,팔라우,오세아니아,11,538,549
249,2020-09,프랑스,유럽,170,821,991
250,2020-10,뉴질랜드,오세아니아,23,254,277
251,2020-10,대만,아시아,3365,14367,17732
252,2020-10,몽골,아시아,174,821,995
253,2020-10,미국,아메리카,4170,20701,24871
254,2020-10,미국,오세아니아,1128,4371,5499
255,2020-10,베트남,아시아,3060,13174,16234
256,2020-10,스위스,유럽,2431,10421,12852
257,2020-10,스페인,유럽,266,1319,1585
258,2020-10,이탈리아,유럽,51,206,257
259,2020-10,인도,아시아,35,526,561
260,2020-10,인도네시아,아시아,605,4051,4656
261,2020-10,일본,아시아,10187,39760,49947
262,2020-10,중국,아시아,2354,9129,11483
263,2020-10,캐나다,아메리카,207,1220,1427
264,2020-10,태국,아시아,2818,9576,12394
265,2020-10,터키,유럽,43,269,312
266,2020-10,팔라우,오세아니아,14,504,518
267,2020-10,필리핀,아시아,63,192,255
268,2020-10,호주,오세아니아,347,735,1082
269,2020-11,그리스,유럽,33,355,388
270,2020-11,뉴질랜드,오세아니아,151,820,971
271,2020-11,대만,아시아,2811,11466,14277
272,2020-11,라오스,아시아,51,499,550
273,2020-11,러시아,아시아,106,1137,1243
274,2020-11,러시아,유럽,46,134,180
275,2020-11,몰타,유럽,290,7621,7911
276,2020-11,몽골,아시아,91,141,232
277,2020-11,미국,아메리카,4153,22149,26302
278,2020-11,미국,오세아니아,133,624,757
279,2020-11,베트남,아시아,2780,11658,14438
280,2020-11,스위스,유럽,2308,8533,10841
281,2020-11,아랍에미리트,아시아,53,416,469
282,2020-11,인도,아시아,125,520,645
283,2020-11,인도네시아,아시아,328,1770,2098
284,2020-11,일본,아시아,9129,33490,42619
285,2020-11,중국,아시아,2033,9010,11043
286,2020-11,캐나다,아메리카,837,4835,5672
287,2020-11,태국,아시아,2295,8195,10490
288,2020-11,터키,유럽,251,1197,1448
289,2020-11,팔라우,오세아니아,14,567,581
290,2020-11,프랑스,유럽,40,169,209
291,2020-12,뉴질랜드,오세아니아,89,543,632
292,2020-12,대만,아시아,2329,9823,12152
293,2020-12,러시아,아시아,53,601,654
294,2020-12,러시아,유럽,96,443,539
295,2020-12,모로코,아프리카,34,818,852
296,2020-12,몰타,유럽,13,230,243
297,2020-12,미국,아메리카,3313,14689,18002
298,2020-12,미국,오세아니아,438,1432,1870
299,2020-12,베트남,아시아,2091,8127,10218
300,2020-12,볼리비아,아프리카,8,225,233
301,2020-12,스위스,유럽,2199,9462,11661
302,2020-12,오스트리아,유럽,16,199,215
303,2020-12,이집트,아프리카,129,2001,2130
304,2020-12,이탈리아,유럽,33,221,254
305,2020-12,인도,아시아,67,341,408
306,2020-12,인도네시아,아시아,100,317,417
307,2020-12,일본,아시아,6295,20490,26785
308,2020-12,중국,아시아,1297,5200,6497
309,2020-12,캐나다,아메리카,406,1931,2337
310,2020-12,태국,아시아,2023,7120,9143
311,2020-12,터키,유럽,626,3704,4330
312,2020-12,프랑스,유럽,63,174,237
313,2021-01,뉴질랜드,오세아니아,287,1797,2084
314,2021-01,대만,아시아,2394,10002,12396
315,2021-01,라오스,아시아,78,795,873
316,2021-01,말레이시아,아시아,10,272,282
317,2021-01,몽골,아시아,319,1864,2183
318,2021-01,미국,아메리카,2957,16114,19071
319,2021-01,미국,오세아니아,847,3002,3849
320,2021-01,베트남,아시아,2565,13502,16067
321,2021-01,스위스,유럽,1764,9983,11747
322,2021-01,아랍에미리트,아시아,485,2463,2948
323,2021-01,인도네시아,아시아,478,2855,3333
324,2021-01,일본,아시아,6014,21522,27536
