검색일자,국가,대륙,총검색량
2021-12,호주,오세아니아,1505
2022-01,괌,오세아니아,34957
2022-01,대만,아시아,2310
2022-01,라오스,아시아,1154
2022-01,미국,북아메리카,30981
2022-01,베트남,아시아,24385
2022-01,스위스,유럽,14090
2022-01,스페인,유럽,4367
2022-01,싱가포르,아시아,22806
2022-01,아랍에미리트,아시아,18765
2022-01,일본,아시아,77671
2022-01,태국,아시아,26292
2022-01,터키,유럽,24297
2022-01,필리핀,아시아,1634
2022-02,괌,오세아니아,44142
2022-02,대만,아시아,3418
2022-02,라오스,아시아,1077
2022-02,러시아,유럽,3041
2022-02,미국,북아메리카,27972
2022-02,베트남,아시아,33872
2022-02,스위스,유럽,16288
2022-02,스페인,유럽,6406
2022-02,싱가포르,아시아,25102
2022-02,아랍에미리트,아시아,6682
2022-02,이탈리아,유럽,2778
2022-02,일본,아시아,84590
2022-02,조지아,유럽,3265
2022-02,태국,아시아,30648
2022-02,터키,유럽,21915
2022-02,팔라우,오세아니아,1417
2022-02,필리핀,아시아,7502
2022-02,호주,오세아니아,692
2022-03,괌,오세아니아,107574
2022-03,대만,아시아,8368
2022-03,미국,북아메리카,65300
2022-03,베트남,아시아,77540
2022-03,스위스,유럽,22995
2022-03,스페인,유럽,6552
2022-03,싱가포르,아시아,49605
2022-03,아랍에미리트,아시아,1791
2022-03,인도네시아,아시아,33876
2022-03,일본,아시아,208850
2022-03,태국,아시아,60923
2022-03,터키,유럽,39601
2022-04,괌,오세아니아,107937
2022-04,대만,아시아,34339
2022-04,미국,북아메리카,82919
2022-04,베트남,아시아,104159
2022-04,스위스,유럽,36212
2022-04,스페인,유럽,15069
2022-04,싱가포르,아시아,77280
2022-04,인도네시아,아시아,57430
2022-04,일본,아시아,342934
2022-04,태국,아시아,87069
2022-04,터키,유럽,63822
2022-05,괌,오세아니아,109450
2022-05,대만,아시아,70429
2022-05,라오스,아시아,2075
2022-05,몰타,유럽,3703
2022-05,몽골,아시아,1806
2022-05,미국,북아메리카,77417
2022-05,베트남,아시아,150068
2022-05,볼리비아,아프리카,6159
2022-05,스위스,유럽,29783
2022-05,스페인,유럽,3195
2022-05,싱가포르,아시아,110381
2022-05,아랍에미리트,아시아,4988
2022-05,이탈리아,유럽,3627
2022-05,인도네시아,아시아,60966
2022-05,일본,아시아,733805
2022-05,중국,아시아,695
2022-05,태국,아시아,113714
2022-05,터키,유럽,87102
2022-05,필리핀,아시아,5736
2022-06,괌,오세아니아,138007
2022-06,대만,아시아,82936
2022-06,몽골,아시아,3834
2022-06,미국,북아메리카,72476
2022-06,베트남,아시아,196435
2022-06,스위스,유럽,7524
2022-06,싱가포르,아시아,135443
2022-06,인도네시아,아시아,57250
2022-06,일본,아시아,718019
2022-06,중국,아시아,1704
2022-06,태국,아시아,170448
2022-06,터키,유럽,81433
2022-06,필리핀,아시아,6137
2022-07,괌,오세아니아,122190
2022-07,대만,아시아,65201
2022-07,몽골,아시아,46012
2022-07,베트남,아시아,225439
2022-07,싱가포르,아시아,132982
2022-07,인도네시아,아시아,43507
2022-07,일본,아시아,478286
2022-07,태국,아시아,228771
2022-07,터키,유럽,48207
2022-08,괌,오세아니아,106543
2022-08,대만,아시아,41155
2022-08,몽골,아시아,31452
2022-08,미국,북아메리카,6692
2022-08,베트남,아시아,193444
2022-08,스위스,유럽,101012
2022-08,스페인,유럽,2429
2022-08,싱가포르,아시아,122172
2022-08,인도,아시아,5748
2022-08,인도네시아,아시아,61323
2022-08,일본,아시아,469643
2022-08,태국,아시아,239934
2022-08,터키,유럽,12956
2022-08,필리핀,아시아,2298
2022-09,괌,오세아니아,102335
2022-09,대만,아시아,109053
2022-09,몽골,아시아,7114
2022-09,미국,북아메리카,7448
2022-09,베트남,아시아,118824
2022-09,스위스,유럽,29812
2022-09,싱가포르,아시아,121699
2022-09,이탈리아,유럽,2491
2022-09,인도네시아,아시아,15289
2022-09,일본,아시아,1124423
2022-09,태국,아시아,186828
2022-09,터키,유럽,24116
2022-10,괌,오세아니아,105923
2022-10,대만,아시아,149171
2022-10,베트남,아시아,138956
2022-10,싱가포르,아시아,130395
2022-10,인도네시아,아시아,1845
2022-10,일본,아시아,1063254
2022-10,캄보디아,아시아,2523
2022-10,태국,아시아,171741
2022-10,터키,유럽,2510
2022-10,필리핀,아시아,19774
2022-11,괌,오세아니아,36716
2022-11,대만,아시아,158322
2022-11,라오스,아시아,3516
2022-11,모로코,아프리카,3211
2022-11,베트남,아시아,132493
