ds,yhat
2020-02-11,24444.556665367818
2020-02-12,23038.766979390723
2020-02-13,21087.567620483587
2020-02-14,18651.9774972758
2020-02-15,18790.01752695219
2020-02-16,25966.558174971193
2020-02-17,26432.094745232953
2020-02-18,23677.01357422899
2020-02-19,22123.937295404074
2020-02-20,20005.65002710287
2020-02-21,17390.17220238416
2020-02-22,17342.724327903252
2020-02-23,24335.351783932696
2020-02-24,24625.481558766987
2020-02-25,21709.980462690026
2020-02-26,20017.309014169303
2020-02-27,17785.2773412356
2020-02-28,15085.977608207697
2020-02-29,14987.636214076234
2020-03-01,21964.160887340287
2020-03-02,22273.65555604555
2020-03-03,19412.473441046204
2020-03-04,17807.40236867679
2020-03-05,15693.487358720873
2020-03-06,13139.06266854918
2020-03-07,13207.733241013913
2020-03-08,20368.076518479797
2020-03-09,20872.332603962648
2020-03-10,18210.647734949223
2020-03-11,16803.459166396526
2020-03-12,14879.520380426624
2020-03-13,12501.132612155328
2020-03-14,12726.316580411483
2020-03-15,20018.68964083964
2020-03-16,20626.311082606077
2020-03-17,18036.05591511901
2020-03-18,16666.10139895566
2020-03-19,14744.022284903218
2020-03-20,12332.058770660224
2020-03-21,12489.290115941592
2020-03-22,19681.479221065103
2020-03-23,20159.852067715416
2020-03-24,17415.37449306335
2020-03-25,15871.113657697328
2020-03-26,13760.184099916307
2020-03-27,11150.847035103976
2020-03-28,11108.501060658951
2020-03-29,18105.335223375216
2020-03-30,18398.914195445348
2020-03-31,15486.263999360834
2020-04-01,13796.051447300242
2020-04-02,11566.36271562957
2020-04-03,8869.65477458145
2020-04-04,8774.622280681619
2020-04-05,15755.754585987564
2020-04-06,16071.855448010478
2020-04-07,13220.095774293663
2020-04-08,11628.193461544552
2020-04-09,9532.225619159777
2020-04-10,7001.645748995716
2020-04-11,7101.246359056279
2020-04-12,14300.838621415262
2020-04-13,14853.917795214695
2020-04-14,12251.880185756821
2020-04-15,10916.380577735881
2020-04-16,9077.329909410415
2020-04-17,6798.100004800483
2020-04-18,7137.670032332729
2020-04-19,14560.480614174974
2020-04-20,15315.258919604852
2020-04-21,12889.375588953859
2020-04-22,11701.318116323575
2020-04-23,9978.776895474624
2020-04-24,7783.908039486364
2020-04-25,8175.5058771234935
2020-04-26,15618.850278910097
2020-04-27,16364.492394861882
2020-04-28,13902.54091126927
2020-04-29,12655.035690842707
2020-04-30,10853.908143535476
2020-05-01,8566.096394057868
2020-05-02,8855.552794969648
2020-05-03,16192.914134836563
2020-05-04,16834.103709150117
2020-05-05,14274.433168317079
2020-05-06,12940.796853008867
2020-05-07,11069.463672573449
2020-05-08,8731.03998473725
2020-05-09,8992.345935307161
2020-05-10,16325.979881447782
2020-05-11,16988.843570744983
2020-05-12,14476.198613797464
2020-05-13,13213.848618784883
2020-05-14,11435.952680992703
2020-05-15,9210.043276994711
2020-05-16,9598.989575466172
2020-05-17,17070.678341695522
2020-05-18,17876.681731315934
2020-05-19,15506.478301748099
2020-05-20,14379.816692231609
2020-05-21,12724.722184598266
2020-05-22,10602.713314997727
2020-05-23,11070.963445809544
2020-05-24,18592.173334204424
2020-05-25,19517.909051500792
2020-05-26,17229.51066160774
2020-05-27,16144.06646846109
2020-05-28,14488.03803567312
2020-05-29,12322.554719113836
2020-05-30,12705.618804663096
2020-05-31,20101.985534487932
2020-06-01,20761.980644008967
2020-06-02,18175.816496163825
2020-06-03,16765.992624217008
2020-06-04,14765.278978037764
2020-06-05,12241.848922893956
2020-06-06,12261.298591271463
2020-06-07,19296.32209195199
2020-06-08,19605.311033842052
2020-06-09,16686.445731183427
2020-06-10,14969.870443057911
2020-06-11,12695.457553266884
2020-06-12,9937.734223528623
2020-06-13,9767.714286077799
2020-06-14,16662.410540512905
2020-06-15,16883.300898859627
2020-06-16,13930.319904513595
2020-06-17,12233.971183251451
2020-06-18,10033.067880711604
2020-06-19,7399.67564282168
2020-06-20,7401.000765037317
2020-06-21,14508.997369047152
2020-06-22,14978.964608793282
2020-06-23,12303.701919759316
2020-06-24,10905.813382569544
2020-06-25,9015.662920840601
2020-06-26,6696.5488574918
2020-06-27,7006.833898588263
2020-06-28,14409.797510291144
2020-06-29,15152.47466176008
2020-06-30,12720.041986420823
2020-07-01,11528.335742835523
2020-07-02,9801.997073399369
2020-07-03,7599.807514885319
2020-07-04,7976.94607675777
2020-07-05,15394.931059449329
2020-07-06,16100.507866175172
2020-07-07,13580.042299610213
2020-07-08,12252.003372865234
2020-07-09,10345.032004775558
2020-07-10,7923.160629925612
2020-07-11,8047.918263840533
2020-07-12,15188.088479361406
2020-07-13,15598.38677070017
2020-07-14,12773.622809713095
2020-07-15,11140.938255763887
2020-07-16,8937.623549382024
2020-07-17,6236.086004503124
2020-07-18,6105.711037320417
2020-07-19,13022.391087261487
2020-07-20,13246.995398715
2020-07-21,10279.352260348387
2020-07-22,8550.339672402924
2020-07-23,6299.592244859246
2020-07-24,3600.3999445628456
2020-07-25,3521.54266516744
2020-07-26,10536.83607703519
2020-07-27,10903.66156343558
2020-07-28,8117.050219383196
2020-07-29,6601.914048362427
2020-07-30,4633.7174192524535
2020-07-31,2235.213248352328
2020-08-01,2466.8743132137515
2020-08-02,9793.896247114364
2020-08-03,10464.984055384088
2020-08-04,7966.695454867485
2020-08-05,6715.926622507466
2020-08-06,4938.036745444334
2020-08-07,2692.1748839465295
2020-08-08,3033.540665350261
2020-08-09,10423.341822076087
2020-08-10,11107.709308209021
2020-08-11,8572.12862142962
2020-08-12,7233.970171057257
2020-08-13,5320.613583183646
2020-08-14,2894.7292430952407
2020-08-15,3016.44968339325
2020-08-16,10153.19619354669
2020-08-17,10558.424957486326
2020-08-18,7725.8560270857015
2020-08-19,6081.773630936112
2020-08-20,3862.8991859888606
2020-08-21,1141.4074215249193
2020-08-22,986.8257643887955
2020-08-23,7875.5901166397325
2020-08-24,8069.529080430143
2020-08-25,5069.847456911979
2020-08-26,3309.204591840448
2020-08-27,1029.3953592594544
2020-08-28,-1693.790218197114
2020-08-29,-1788.7839709760892
2020-08-30,5221.243387568352
2020-08-31,5596.839489356216
2020-09-01,2836.2735597228284
2020-09-02,1367.6808667397709
2020-09-03,-573.1455443979403
2020-09-04,-2917.7428102854337
2020-09-05,-2603.005323866082
2020-09-06,4838.520436855691
2020-09-07,5657.34145883967
2020-09-08,3341.288984813168
2020-09-09,2307.942275560646
2020-09-10,782.7036383340846
2020-09-11,-1175.9101643241802
2020-09-12,-514.0273474907453
2020-09-13,7227.532511317588
2020-09-14,8292.18633792162
2020-09-15,6162.048346418489
2020-09-16,5250.506193450802
2020-09-17,3780.4065776585912
2020-09-18,1809.4123604856895
2020-09-19,2392.2622135266633
2020-09-20,9990.696223470548
2020-09-21,10852.309523885442
2020-09-22,8464.894786541456
2020-09-23,7248.859422321742
2020-09-24,5435.216101267597
2020-09-25,3090.714207203903
